#{"t_start": 1768911982.4930196, "env_id": "None"}
100.367879,136,5160.053419
0.742023,29,5160.731761
467.800253,142,5164.203041
196.968722,44,5165.268649
371.188997,98,5167.629993
18.861172,18,5168.116057
123.408946,41,5169.126091
416.783554,118,5171.946401
261.674128,154,5175.608368
395.330657,177,5179.800171
339.115387,123,5182.693031
239.596286,236,5188.308936
111.403696,130,5191.498006
403.284359,80,5193.318655
417.201956,45,5194.405995
-32.318169,5,5194.592671
179.790793,340,5202.663928
-50.0,1,5202.694096
147.691846,91,5204.890124
216.270762,79,5206.832812
224.326723,184,5211.179006
181.901126,331,5219.032368
251.418559,104,5221.67245
-64.578068,100,5224.024917
414.733609,174,5228.244314
433.009494,80,5230.165837
264.224873,172,5234.279856
168.287758,94,5236.611735
173.741163,319,5244.268924
-34.278209,9,5244.505478
-0.184412,13,5244.891062
-50.0,1,5244.924088
189.327133,148,5248.468315
-50.0,1,5248.498757
53.712115,20,5249.031908
-44.424941,9,5249.291924
6.050345,33,5250.130561
145.427498,85,5252.18928
402.748967,205,5257.086704
213.63479,195,5261.750114
273.663655,240,5267.629135
-50.0,1,5267.661444
312.090972,183,5272.655806
275.374309,58,5273.639039
248.60644,71,5274.841385
351.830754,74,5276.091165
228.961948,151,5278.673207
23.255397,15,5279.092546
-50.0,1,5279.123296
419.700174,142,5282.459214
13.939098,27,5283.129261
267.145017,182,5287.613246
220.11538,36,5288.477528
196.696588,85,5290.459426
253.609287,73,5292.268473
67.400066,22,5292.771196
206.286855,100,5295.152895
253.39687,111,5297.885539
255.987982,80,5299.82422
278.333311,87,5301.858385
337.098326,98,5304.193377
291.739569,129,5307.393286
107.425872,43,5308.490374
194.985989,70,5310.188274
-59.327608,23,5310.732581
-43.755778,7,5310.933093
19.083417,100,5313.328741
90.143907,178,5317.584629
173.352624,64,5319.185383
-20.367611,39,5320.137139
-50.0,1,5320.167204
440.573903,91,5322.369689
498.969188,157,5326.07125
-39.577074,10,5326.331025
235.256007,70,5328.024494
448.746824,203,5332.875758
228.381735,367,5341.702077
213.304044,112,5344.368582
195.826397,61,5345.81077
406.509406,60,5347.207706
155.649178,107,5349.797419
125.007572,97,5352.044578
326.313514,67,5353.704481
316.95424,115,5356.496875
81.945719,52,5357.916509
141.135491,79,5359.858962
70.860892,38,5360.725314
100.455617,62,5362.321759
286.963775,81,5364.253637
211.509236,99,5366.603575
241.271877,70,5368.264238
50.030036,30,5368.992934
348.692964,108,5371.571758
195.372534,86,5373.725904
197.122233,105,5376.235148
-4.229575,21,5376.781337
440.654599,86,5378.837097
-15.982381,175,5383.104914
292.706863,110,5385.737553
140.42775,61,5387.185554
145.555461,43,5388.230644
290.387836,69,5389.910083
-57.099564,2,5389.963116
156.782549,163,5393.896691
285.698881,111,5396.623132
59.985093,60,5398.07775
293.906286,78,5399.96328
290.89062,141,5403.347821
250.982338,53,5404.648528
41.625495,18,5405.075236
205.936436,123,5407.93056
226.766908,134,5411.12715
317.263992,67,5412.769665
308.770756,173,5417.005126
-1.68615,93,5419.315413
240.510361,62,5420.817633
291.742813,60,5422.272744
236.868163,120,5425.214438
388.899105,80,5427.161803
316.09316,223,5432.48391
-19.396903,18,5432.911342
241.968482,95,5435.185727
150.93406,51,5436.431252
327.145488,86,5438.577921
317.751218,225,5443.972819
209.568548,97,5446.331845
-50.0,1,5446.361528
-50.0,1,5446.391099
-22.847975,11,5446.741295
355.64155,123,5449.684751
-50.0,1,5449.715328
-50.0,1,5449.745243
140.016901,129,5452.878302
168.633537,53,5454.11039
229.77993,110,5456.792409
387.015327,311,5464.124455
301.266802,70,5465.864314
176.882348,72,5467.693088
358.160303,64,5469.233143
139.747572,106,5471.777378
465.424256,122,5474.705142
287.621573,117,5477.432564
145.242417,71,5479.199167
236.094225,140,5482.582758
175.130947,103,5485.03656
360.004554,76,5486.845084
288.912096,114,5489.691699
-29.84846,8,5489.959401
399.872476,202,5494.880788
163.53804,53,5496.181221
-52.707301,2,5496.228683
218.620507,52,5497.52691
361.775781,189,5502.118785
214.388857,135,5505.344844
191.484093,87,5521.960474
19.069179,30,5522.496523
189.129734,49,5523.327163
228.433508,173,5526.288616
451.853068,98,5527.944573
-64.825703,11,5528.286708
46.117486,42,5529.266133
247.417674,38,5530.28178
164.859754,120,5533.147866
72.41975,60,5534.610962
12.376134,20,5535.129426
269.814104,80,5537.102076
444.384191,116,5539.788127
213.93289,120,5542.689216
351.177576,91,5544.842349
311.165086,103,5547.452176
354.788158,102,5549.887019
358.879325,188,5554.428984
-43.810475,2,5554.476252
278.66256,130,5557.509137
214.11497,21,5557.987854
400.469865,108,5560.642374
198.2599,118,5563.416627
217.918539,41,5564.482095
302.745975,73,5566.239825
-18.899343,17,5566.651512
53.286904,41,5567.596668
343.922266,140,5571.017646
225.532114,51,5572.205792
337.437605,145,5575.722335
148.371113,83,5577.748744
-67.500473,6,5577.866063
289.492845,143,5581.271982
-38.988611,31,5582.103209
286.831016,259,5588.292401
363.081697,86,5590.320858
288.723656,33,5591.14315
340.668104,141,5594.628322
4.907184,21,5595.244806
306.248448,122,5598.088201
-6.055937,28,5598.767344
-60.099006,10,5599.016393
283.640587,54,5600.286858
210.392876,74,5602.073872
-44.659465,2,5602.195802
56.700586,40,5603.161412
-90.720901,3,5603.223827
64.246781,97,5605.676247
320.657646,92,5607.888564
253.032569,76,5609.670558
-43.638322,2,5609.790162
-50.0,1,5609.828487
-37.946131,39,5610.787168
154.531502,40,5611.793995
-50.0,1,5611.823771
329.803996,46,5612.896523
221.824553,144,5616.449564
-50.298162,2,5616.496644
151.101804,38,5617.464551
206.547423,37,5618.263349
-50.0,1,5618.293147
285.186357,81,5620.316647
309.707812,172,5624.442515
-50.0,1,5624.476336
459.228102,116,5627.260405
181.249798,92,5629.503471
376.677621,102,5631.946223
37.566475,77,5633.729678
270.857403,113,5636.460382
131.106424,42,5637.516518
-26.754574,42,5638.497484
249.41543,91,5640.646718
13.050183,22,5641.272773
188.836513,40,5642.230797
270.203414,155,5645.948992
-50.0,1,5645.980688
-50.0,1,5646.010207
293.976241,85,5648.095832
263.654029,85,5650.012349
213.038679,54,5651.302027
223.789027,112,5653.956425
363.448,95,5656.278123
-59.027936,21,5656.80953
103.04929,21,5657.400951
264.254448,81,5659.256016
-24.088678,29,5659.951737
48.980087,30,5660.69235
319.016542,140,5663.969422
319.276341,80,5665.891984
177.698999,123,5668.83708
-38.066808,19,5669.312539
290.906607,59,5670.760956
256.768555,149,5674.399353
235.926195,126,5677.511342
-7.45646,9,5677.760385
64.273879,79,5679.622393
372.222258,101,5682.094944
-50.0,1,5682.124969
158.876071,39,5683.037867
275.841561,101,5685.446914
194.228884,225,5690.867771
422.281446,180,5695.231732
346.362331,239,5700.983082
52.671812,200,5705.884634
258.945957,138,5709.165075
437.012659,122,5712.178587
375.551248,136,5715.427311
185.763229,93,5717.647133
-62.801494,2,5717.782295
239.02213,163,5721.669094
98.130431,97,5724.018751
377.098567,129,5727.166795
-91.499675,11,5727.457722
495.039271,93,5729.701796
-50.0,1,5729.731087
350.986465,85,5731.794281
218.04998,60,5733.290711
182.225348,105,5735.896265
202.904073,38,5736.82854
495.422847,199,5741.69788
-24.687699,38,5742.624473
-50.0,1,5742.657266
281.413404,63,5744.12874
453.532848,114,5746.794308
-50.0,1,5746.824953
428.132058,70,5748.52961
276.34386,99,5750.93815
48.867811,39,5751.880458
122.693727,25,5752.520525
236.290477,71,5754.256069
152.839058,64,5755.79663
13.291411,53,5757.163338
155.728081,37,5758.020547
277.588396,118,5760.896653
251.14809,87,5762.984239
419.29126,147,5766.444673
-50.0,1,5766.56554
250.289764,37,5767.4465
330.681907,122,5772.017461
464.140973,138,5774.348378
-50.0,1,5774.381003
290.078765,87,5775.852858
-52.278951,4,5775.931626
236.158509,46,5777.053872
509.154609,106,5779.599498
243.652843,66,5781.168735
-49.138796,2,5781.217414
360.918626,73,5783.001394
-54.249088,48,5784.190413
88.465559,90,5786.267267
158.289949,98,5788.573696
-50.0,1,5788.605124
50.358327,31,5789.455556
353.133161,107,5791.906415
223.93607,73,5793.702939
138.133048,80,5795.687253
178.303716,60,5797.193524
-3.450819,110,5799.860373
249.377662,105,5802.368508
71.587644,55,5803.783579
-50.0,1,5803.814351
143.836343,29,5804.525599
257.746751,56,5805.814323
497.40711,238,5811.68425
82.587524,46,5812.763752
275.629011,92,5815.042745
74.970641,40,5816.032389
331.251811,53,5817.308025
343.19299,149,5820.873438
332.809783,96,5823.200917
288.518226,59,5824.613963
189.573196,121,5827.611317
386.484107,122,5830.52027
23.014137,119,5833.442928
-49.201761,10,5833.701704
52.145453,69,5835.380844
-31.150615,20,5835.867087
-50.0,1,5835.899122
421.98795,149,5839.448282
-50.0,1,5839.478621
172.827473,95,5841.692087
444.507639,147,5845.286752
459.443463,124,5848.211765
-2.753578,33,5849.068366
-42.467114,5,5849.165884
501.858966,163,5853.02882
195.259044,50,5854.241666
102.446502,52,5855.555348
80.667792,90,5857.720186
403.714029,140,5861.24144
273.036422,108,5863.811295
125.421557,45,5864.97698
-50.0,1,5865.011501
242.787117,57,5866.488712
499.671245,141,5869.882644
175.148624,62,5871.436267
250.114702,77,5873.336377
38.454186,30,5874.100292
60.480363,24,5874.675106
153.537635,132,5877.827012
140.683852,34,5878.721905
280.229111,90,5880.980914
208.26102,96,5883.250071
57.455165,63,5884.877889
337.184304,68,5886.474102
386.585855,81,5888.389727
-50.0,1,5888.495201
179.780267,53,5889.793138
133.875186,67,5891.460322
148.574099,50,5892.66321
196.865113,76,5894.428457
416.736893,196,5899.141831
-48.830552,8,5899.378595
339.005327,122,5902.307131
334.973963,91,5904.475315
157.018007,101,5906.846549
134.149214,107,5909.352955
125.767355,100,5911.833348
161.990832,94,5914.098077
58.412048,62,5915.574455
-32.435054,3,5915.712039
137.125577,42,5916.762634
157.097501,143,5920.069545
246.361222,76,5921.897105
0.121213,9,5922.129625
-53.800912,2,5922.176138
293.30552,132,5925.325694
300.259724,159,5929.097504
386.671955,66,5930.67544
6.32469,81,5932.739353
-46.169988,2,5932.786122
-50.0,1,5932.816935
490.320489,153,5936.534235
-38.611693,4,5936.678262
-50.0,1,5936.709105
84.973266,79,5938.57378
243.063667,160,5942.423565
222.759342,153,5946.131368
262.516248,51,5947.365827
-50.687582,2,5947.414992
325.113408,117,5950.208123
262.023304,65,5951.711719
-48.147775,6,5951.901884
220.740486,83,5953.879352
62.917182,52,5955.121988
-50.0,1,5955.22881
447.210104,244,5961.018256
204.567479,82,5962.958968
61.698031,25,5963.612449
374.873486,187,5968.075074
180.176732,32,5968.906189
295.341243,90,5971.082192
246.739337,66,5972.581295
412.883856,100,5974.886363
432.649193,84,5976.911711
403.545107,82,5978.834425
292.572473,128,5981.972371
332.526029,134,5985.080395
190.063836,57,5986.471569
386.714448,91,5988.606251
243.444214,60,5990.048791
162.11311,247,5995.935058
-69.338654,11,5996.31474
154.421904,79,5998.200673
13.808179,101,6000.762714
320.923722,132,6003.937505
192.772917,76,6005.736251
174.55337,90,6007.906902
428.584328,171,6011.889316
172.359034,80,6013.826642
148.70783,111,6016.579179
181.389872,106,6019.27707
152.120255,134,6021.574665
205.141168,54,6022.482559
-50.0,1,6022.512138
355.63924,85,6023.965248
214.071393,446,6034.588902
214.546858,69,6036.269838
274.065459,52,6037.469025
358.022232,118,6040.304207
11.762701,36,6041.210207
324.702091,96,6043.407833
17.134905,14,6043.780529
30.185557,40,6044.760756
25.954353,80,6046.678326
169.244128,170,6050.770399
-23.979599,11,6051.070173
353.882004,108,6053.54111
148.467256,91,6055.815949
300.834338,69,6057.52758
29.42797,36,6058.405629
445.973059,81,6060.358535
298.8774,64,6061.960403
70.236758,171,6065.998024
252.763272,53,6067.294217
391.326847,90,6069.380646
226.931667,27,6070.056292
401.277077,123,6072.952917
399.991759,134,6076.138384
221.722661,45,6077.269172
192.566301,59,6078.635969
30.595882,28,6079.332396
97.710466,51,6080.596484
3.871112,69,6082.291365
232.068838,83,6084.323559
23.127834,157,6088.171163
57.071082,190,6092.773152
347.51152,99,6094.975456
252.313375,110,6097.603498
338.887784,222,6103.010966
437.261506,214,6108.067316
-13.64866,16,6108.466359
183.243788,69,6110.071833
341.606718,375,6119.058328
-45.387665,12,6119.341792
167.481862,197,6124.087948
81.755801,56,6125.551382
162.471426,46,6126.621405
48.24626,26,6127.262452
79.512355,128,6130.410432
294.296474,79,6132.279938
-50.0,1,6132.407635
97.499489,30,6133.129441
286.121332,100,6135.55527
240.149231,197,6140.280056
-50.0,1,6140.311056
25.194569,32,6141.164791
18.348611,40,6142.123688
69.089209,102,6144.536453
259.954237,119,6147.487995
385.624074,159,6151.349976
158.497275,70,6153.052221
9.589914,50,6154.26826
315.254341,68,6155.845116
126.673259,109,6158.453616
-45.728554,17,6158.890329
69.686326,26,6159.572037
298.335952,243,6165.401073
225.024418,117,6168.235831
153.682623,26,6168.859147
259.95692,142,6172.360831
355.204685,83,6174.421185
297.241544,263,6180.644702
170.828104,89,6182.806035
161.989092,119,6185.675804
179.692743,74,6187.457042
309.470113,66,6189.060374
80.203116,18,6189.568664
200.402942,122,6192.482209
-50.0,1,6192.513302
81.387801,57,6193.915553
65.768201,19,6194.324248
202.230199,63,6195.921697
276.346297,79,6197.800761
310.527288,82,6199.723249
149.543286,49,6200.907077
-39.282992,3,6200.975369
150.042126,65,6202.601913
226.112733,96,6204.967491
56.000928,123,6207.89484
156.219639,191,6212.612725
117.303602,150,6216.206704
215.92483,120,6219.105703
350.147191,76,6220.923243
105.820532,29,6221.662083
221.31946,108,6224.300179
64.135253,17,6224.730966
146.537581,21,6225.263258
189.530485,41,6226.30549
258.320517,132,6229.437793
172.006121,101,6231.796093
11.220311,6,6231.974263
222.689235,69,6233.695893
474.141379,207,6238.681066
-30.293037,20,6239.176063
355.980151,210,6244.371352
490.250012,202,6249.198827
110.83736,91,6251.389315
17.144778,13,6251.678132
284.577961,67,6253.320436
370.679794,84,6255.313398
182.396474,147,6258.981487
152.10015,124,6261.999449
303.073575,126,6265.007443
-50.0,1,6265.413196
280.328342,65,6266.502391
213.838907,60,6267.574743
410.983976,99,6269.245037
365.690707,114,6271.186193
32.451,33,6272.02532
301.011993,44,6273.090618
171.503531,81,6275.061777
244.222947,146,6278.637161
84.751657,107,6281.244293
317.396979,198,6286.023592
-26.924386,2,6286.171432
459.653161,52,6287.424731
399.989322,107,6289.92914
-50.0,1,6290.056192
167.626585,300,6297.274557
195.500827,129,6300.37483
187.208448,96,6302.73708
300.872665,128,6305.847711
391.621461,76,6307.602719
476.459199,222,6312.908767
69.021874,41,6313.867886
138.392524,39,6314.833435
312.903568,97,6317.113651
-43.18075,2,6317.233194
187.709806,53,6318.450754
49.840673,57,6319.880288
79.72946,67,6321.383882
219.316719,133,6324.693372
63.483525,20,6325.164822
-31.654525,2,6325.215918
-62.719099,38,6326.200889
370.358765,76,6327.938392
219.445199,82,6329.885301
337.649795,182,6334.362125
157.42742,41,6335.359247
206.374794,151,6338.952381
77.327741,29,6339.645414
-20.427057,69,6341.264121
231.516977,133,6344.393403
239.548347,175,6348.566809
-50.0,1,6348.599893
271.785438,109,6351.200603
52.916085,70,6352.864197
324.099777,221,6358.167435
26.549904,168,6362.257102
-50.0,1,6362.287964
-47.264932,8,6362.501751
320.533265,71,6364.17824
275.403209,91,6366.288339
455.901436,158,6370.016876
227.955489,39,6371.003293
15.623753,27,6371.657273
104.970627,195,6376.165743
235.840719,143,6379.622682
197.761712,141,6382.96814
245.277503,82,6384.8838
185.146963,27,6385.543332
221.676872,155,6389.169217
212.796435,34,6389.999942
265.560604,193,6394.668025
295.913207,108,6397.287581
-56.925452,2,6397.334018
281.03966,88,6399.447027
531.193571,161,6403.223644
194.394459,82,6405.189671
-28.926929,7,6405.379042
-50.419966,3,6405.442146
318.124021,76,6407.224719
-50.0,1,6407.326185
-50.0,1,6407.360244
211.106209,59,6408.778124
-56.969617,3,6408.846402
371.276546,117,6411.682865
291.058039,87,6413.713685
-32.676212,31,6414.464632
102.749684,79,6416.397512
276.886826,155,6420.131765
237.239129,155,6423.846192
85.044448,66,6425.498966
456.400464,102,6427.957796
164.683403,96,6430.210984
-50.0,1,6430.243479
-50.0,1,6430.277525
406.675741,87,6432.398004
220.824983,108,6434.884871
313.800562,93,6437.181392
323.359698,59,6438.584716
200.046979,57,6439.94802
122.104028,35,6440.885927
40.368702,42,6441.860654
259.855434,71,6443.531426
329.824663,64,6445.012923
270.623114,111,6447.679475
175.402303,66,6449.225369
262.290503,101,6451.61509
375.705972,120,6454.426905
313.705801,114,6457.126072
163.079556,30,6457.835581
352.423524,252,6463.863866
217.43691,22,6464.39572
-50.0,1,6464.429363
217.546524,99,6466.789538
172.645686,160,6470.616455
357.34486,123,6473.599317
151.094275,36,6474.524979
325.139723,78,6476.411817
210.254951,43,6477.459992
244.458294,74,6479.228744
181.728099,38,6480.153316
-50.0,1,6480.184596
164.286167,99,6482.581503
90.39014,173,6486.671538
395.227015,100,6489.032424
336.951271,140,6492.3909
142.141095,371,6501.421889
74.089116,190,6505.941983
51.361491,39,6506.918512
226.925365,87,6508.946576
389.49464,106,6512.901082
13.472935,75,6514.208836
-55.999885,22,6514.597658
129.433812,564,6524.248456
394.080674,78,6525.618153
66.76523,29,6526.310769
251.571178,79,6528.213879
151.994878,63,6529.758976
284.564428,230,6535.221916
16.969981,17,6535.614962
-59.059004,2,6535.669753
46.054335,102,6538.2008
20.445418,176,6542.316955
172.306427,61,6543.75015
-50.0,1,6543.780053
119.358444,151,6547.487232
458.013261,117,6550.163341
-50.0,1,6550.195218
121.243008,82,6552.247089
307.873182,195,6556.837981
-48.259949,5,6557.013442
-2.076062,40,6558.021911
85.677564,42,6559.034054
185.477147,141,6562.406536
325.609577,105,6564.809781
350.129209,142,6568.291788
232.812749,40,6569.257438
171.893995,110,6571.897862
237.153753,106,6574.351257
256.101638,64,6575.933352
13.818245,90,6578.094848
72.21237,26,6578.698444
-50.0,1,6578.729085
290.836994,115,6581.58615
174.642562,68,6583.227004
163.56203,96,6585.430937
-15.967684,11,6585.698501
180.20958,58,6587.136539
49.756837,13,6587.430238
65.836466,45,6588.619667
76.637371,75,6590.325397
326.090546,80,6592.217107
397.433757,126,6595.224273
-50.0,1,6595.253915
88.410438,25,6595.873994
111.498785,171,6599.933249
242.258855,98,6602.201058
217.284939,66,6603.812268
191.704785,64,6605.330006
-30.836826,31,6606.168621
2.90278,16,6606.521352
446.429607,46,6607.690046
-52.848405,2,6607.739738
6.774017,16,6608.156316
126.667098,74,6609.88977
226.699214,167,6613.896054
356.031579,88,6615.934505
216.139557,91,6618.262458
16.812706,60,6619.684157
199.949172,60,6621.109797
215.013147,82,6623.090225
351.894646,80,6624.992963
325.771179,77,6626.767001
356.127957,51,6628.031305
253.023415,84,6629.979184
95.46658,126,6632.970758
-26.813516,40,6633.930606
331.653921,122,6636.820776
-50.0,1,6636.856379
383.908732,94,6639.116645
0.558772,153,6642.805425
143.461775,60,6644.269171
-22.236568,11,6644.550094
421.519635,74,6646.282961
24.566915,65,6647.899467
162.553314,203,6652.734929
-10.883512,7,6652.958738
438.85338,163,6656.852606
96.160589,136,6660.032403
2.012651,21,6660.627289
292.853677,50,6661.828494
-50.0,1,6661.862127
77.645409,77,6663.696878
162.461835,110,6666.248189
51.032488,130,6669.352548
160.037302,109,6671.961376
96.481702,63,6673.569577
242.691401,163,6677.431484
57.371505,42,6678.484415
318.997604,155,6682.291133
375.306229,134,6685.510854
22.158064,38,6686.406031
423.329378,59,6687.841459
252.763734,54,6689.066385
468.153345,105,6691.578252
-50.0,1,6691.608951
29.564018,75,6693.365879
7.417416,3,6693.429444
188.710275,50,6694.652966
-50.0,1,6694.75171
292.54824,131,6697.982747
267.406809,134,6701.165019
306.05555,95,6703.434313
230.874134,71,6705.090322
332.050114,168,6708.921912
262.688406,51,6710.203764
-50.0,1,6710.234118
301.634326,196,6714.911571
338.002021,92,6717.085575
205.934039,311,6724.516676
197.164556,64,6726.00905
300.953445,102,6728.409943
-34.789671,21,6728.948669
22.114649,42,6729.939211
293.521496,104,6732.524992
113.496901,34,6733.351225
211.7578,147,6736.918597
162.457037,81,6738.827314
309.089807,195,6743.569577
153.603686,73,6745.312711
79.658068,117,6748.158219
365.40259,92,6750.31354
411.219355,181,6754.647978
167.926391,39,6755.617191
16.26265,19,6756.082628
139.873413,80,6758.046895
34.934867,18,6758.434812
-50.0,1,6758.535672
355.183458,56,6759.82884
-41.766882,4,6759.982396
-51.566266,25,6760.557752
83.90997,45,6761.682769
-28.475734,11,6761.947459
244.240809,49,6763.082414
214.847319,365,6771.547851
210.111867,144,6774.067391
288.861241,66,6775.190312
360.746818,78,6776.505804
330.986612,160,6779.218562
-50.0,1,6779.312417
537.949021,70,6781.011269
153.791261,157,6784.698663
-50.0,1,6784.729894
257.774826,99,6787.135693
21.107962,35,6788.074129
339.586689,263,6794.301778
264.561852,40,6795.240239
-50.0,1,6795.272705
-46.923506,4,6795.438709
-50.686863,2,6795.485929
87.515189,45,6796.545717
251.442992,93,6798.872597
219.762561,45,6799.904986
234.722941,118,6802.718303
259.122162,65,6804.261281
250.619778,212,6809.326468
217.763637,27,6809.926355
189.711459,52,6811.110055
285.535721,168,6815.163265
235.533053,193,6819.740743
320.611488,248,6825.609953
128.345222,75,6827.429933
-50.0,1,6827.461341
10.931112,17,6827.9172
400.150911,104,6830.381261
-7.626559,55,6831.707199
-50.0,1,6831.73704
368.560404,251,6837.794828
357.798322,129,6840.838586
70.576012,37,6841.657887
10.205555,14,6842.023047
349.162434,122,6844.954615
144.771882,22,6845.461784
-57.889049,3,6845.525351
247.164754,98,6847.916946
200.234018,60,6849.435184
41.986123,64,6851.025554
48.625791,31,6851.774447
338.272692,85,6853.762339
357.392857,109,6856.437511
231.036409,94,6858.739859
415.21939,136,6861.934704
211.71403,108,6864.592213
182.8665,72,6866.328142
-41.508822,4,6866.5011
221.623798,191,6871.162107
-39.005462,18,6871.575555
246.777304,80,6873.505468
476.668114,157,6877.289256
436.682215,150,6880.878164
389.940874,66,6882.469083
202.739122,129,6885.550991
240.187185,28,6886.183862
-50.0,1,6886.280447
122.130047,78,6888.082779
340.953512,82,6890.043144
170.322187,60,6891.486046
4.817366,10,6891.739087
157.619279,160,6895.560418
-50.0,1,6895.592753
410.76957,146,6899.019978
-29.825249,2,6899.073515
223.865235,91,6901.319505
350.308628,129,6904.324713
174.647889,26,6904.991315
-40.202529,3,6905.057866
-50.0,1,6905.094841
269.729577,71,6906.814923
244.555191,87,6908.888571
230.417124,56,6910.243369
193.047036,197,6914.933303
318.297028,360,6923.472654
235.389393,93,6925.700715
254.87715,42,6926.68977
65.181237,66,6928.277833
287.839624,162,6932.122696
192.543849,18,6932.564935
243.710654,54,6933.808239
310.639602,115,6936.545407
-7.42224,40,6937.501478
17.472011,34,6938.298943
249.187319,157,6942.065441
293.984815,73,6943.768015
179.057179,62,6945.242872
236.42603,64,6946.795446
-10.54382,16,6947.132339
4.885087,21,6947.652397
128.115203,83,6949.671685
389.659619,116,6952.394619
309.3348,104,6954.962483
217.156695,47,6956.064305
284.529356,81,6958.037838
169.987272,82,6960.06355
178.47083,24,6960.670947
116.442148,47,6961.862325
-50.0,1,6961.89275
248.418835,88,6964.053288
64.985329,30,6964.813475
125.12495,96,6967.145678
259.026035,147,6970.745808
29.073663,73,6972.489973
-50.0,1,6972.523176
-46.49513,10,6972.769108
217.784487,86,6974.86137
148.598782,17,6975.318585
352.135445,95,6977.555492
257.561601,63,6979.044578
-50.0,1,6979.07868
164.474482,125,6982.109569
234.873478,45,6983.178048
-50.0,1,6983.281083
151.362254,53,6984.505014
223.824943,103,6987.008803
-27.536913,10,6987.274915
-50.0,1,6987.309522
218.843661,123,6990.355918
275.406784,88,6992.472232
284.501091,102,6995.04484
300.687773,97,6997.395625
96.35319,73,6999.165604
216.571798,139,7002.458218
490.333937,135,7005.691761
307.949973,111,7008.360029
147.792226,145,7011.846473
-50.0,1,7011.87683
369.04566,226,7017.286021
218.835145,87,7019.386351
-27.348452,30,7020.225848
277.293263,40,7020.915013
272.499839,123,7023.008978
-13.943362,28,7023.490051
70.879865,50,7024.358437
251.366695,54,7025.392163
195.11576,100,7027.102433
218.488547,570,7036.64833
242.907292,91,7038.188422
300.282314,115,7040.170033
-62.783108,4,7040.260812
